cep,lat,long
60150060,-3.7363272,-38.5048328
60320105,-3.7267916,-38.5628264
60713480,-3.7956573,-38.5783172
60431075,-3.7396638,-38.5501175
60430660,-3.7400877,-38.5464956
60812475,-3.7741966500000004,-38.45728332333569
60740745,-3.77914,-38.5550957
60120001,-3.7380906,-38.5077497
60713300,-3.7999081,-38.5806813
60420312,-3.7646365,-38.5433673
60425784,-3.7486664,-38.5460555
60191335,-3.7499578,-38.46664
60176125,-3.7440767,-38.4712426
60822482,-3.7985946,-38.4945333
61905590,-3.8437139,-38.6125553
60192072,-3.74517,-38.4814849
60410234,-3.7652665,-38.5413264
60813730,-3.7785057,-38.4908634
60731538,-3.8012488,-38.6019817
60740148,-3.7759999,-38.5569464
60732546,-3.8127432,-38.6121646
60050220,-3.748782,-38.5248899
60135041,-3.7416261,-38.5089366
60130271,-3.7538483,-38.5141899
60110000,-3.7295219,-38.519027
60861770,-3.8122705,-38.5221589
60714150,-3.786744,-38.55973
60135253,-3.7515809,-38.5086623
60175415,-3.7355835,-38.4697131
60110140,-3.7258717,-38.5155849
60861790,-3.8173207,-38.5210252
60025200,-3.7431296,-38.5348951
60175000,-3.7446834,-38.4924858
60125121,-3.7519743,-38.5066589
60135170,-3.7448842,-38.5158893
60050135,-3.7419384,-38.5311121
60416205,-3.7544767,-38.5456515
60411136,-3.7498058,-38.5366233
60811030,-3.7723036,-38.4853928
60055171,-3.7377569,-38.5237433
60821230,-3.787623,-38.5022273
60455365,-3.7409193,-38.5674346
60810165,-3.7633379,-38.4841009
60135280,-3.745959,-38.4918223
60055210,-3.7401917,-38.5243912
60120021,-3.7318535,-38.5045575
60115282,-3.7454964,-38.5112681
60416200,-3.7569411,-38.5442747
60425810,-3.7502238,-38.5459851
60441690,-3.7537364,-38.5588889
60115170,-3.7257284,-38.5084472
60125055,-3.7333025,-38.5006515
60175045,-3.7427209,-38.4728296
60170150,-3.7302305,-38.4932049
60181255,-3.7315194,-38.4765011
60050150,-3.7469178,-38.5270533
60714700,-3.8019817,-38.5530806
60110300,-3.7361552,-38.5164179
60170041,-3.7378686,-38.4967074
60442056,-3.7606009,-38.5592716
60455525,-3.7465927,-38.5573001
60310001,-3.7213371,-38.5454035
60450510,-3.7385693,-38.5499177
60150110,-3.7303418,-38.520541
60450175,-3.7382019,-38.562393
60125070,-3.7257367,-38.5003717
60742155,-3.7879738,-38.5424102
60140120,-3.7412076,-38.4999175
60055402,-3.7378284,-38.524347
61602140,-3.7317788,-38.6505297
60192024,-3.7407852,-38.4842978
60840280,-3.8328384,-38.4940935
60820490,-3.7819308,-38.5066523
60140200,-3.7401425,-38.4963572
60442462,-3.7458981,-38.5665535
60020110,-3.746019,-38.5406932
60115190,-3.7266279,-38.507559
60160090,-3.7283995,-38.5034434
60025001,-3.7352048,-38.5321573
60520022,-3.7702556,-38.5704852
60150162,-3.7370648,-38.4958006
60020350,-3.7467651,-38.5398732
60520210,-3.7747837,-38.5772849
60170172,-3.7515825,-38.5033142
60543355,-3.7951699,-38.60241
60040360,-3.7448651,-38.5303849
60336360,-3.7128149,-38.575966
60761390,-3.8076157,-38.5435648
60135203,-3.7473005,-38.496462
60355337,-3.7251445,-38.5669688
60150100,-3.740422,-38.492185
60060120,-3.7242524,-38.5208621
60115080,-3.7265454,-38.5098884
60020140,-3.7434373,-38.5396959
60532590,-3.7768899,-38.6202833
60160070,-3.7250313,-38.5058687
60110100,-3.7259384,-38.5167688
60411280,-3.7548434,-38.5269566
60192165,-3.7482186,-38.4929797
60025101,-3.7339238,-38.5298822
60762260,-3.8178287,-38.5636108
60421410,-3.7737499,-38.5548313
60160110,-3.7315921,-38.4892346
60420720,-3.7642683,-38.5555851
60060140,-3.724117,-38.5218624
60115082,-3.7406165,-38.5146012
60165070,-3.7302477,-38.4900074
60125000,-3.7264545,-38.5017102
60192055,-3.7438722,-38.4828608
60415040,-3.7527298,-38.5294542
60040081,-3.7348432,-38.5365853
60020330,-3.7451642,-38.5399022
60020100,-3.7436971,-38.5379742
60170240,-3.7345375,-38.4934846
60130230,-3.7516579,-38.5132062
60135180,-3.7437919,-38.5131123
60135430,-3.7485753,-38.4958539
60150120,-3.7328235,-38.5130713
60120075,-3.7531133,-38.517149
60055265,-3.7415266,-38.5247362
60140110,-3.7378797,-38.510039
60410298,-3.7584911,-38.5384701
60020060,-3.7444673,-38.5372105
60140195,-3.7333686,-38.5178876
60115015,-3.7236926,-38.5083333
60864100,-3.7999081,-38.5105011
60310402,-3.7158776,-38.5464361
60011170,-3.7342785,-38.5432127
60050140,-3.7478909,-38.5275049
60115171,-3.7333572,-38.5109094
60822510,-3.7944606,-38.4993471
60811110,-3.7740757,-38.4901799
60165230,-3.7289541,-38.4842788
60120024,-3.7380906,-38.5077497
60192070,-3.74517,-38.4814849
60330510,-3.714643,-38.580987
60441750,-3.7561832,-38.5581247
60714502,-3.797034,-38.5317103
60411160,-3.7503184,-38.5302205
60160140,-3.7331947,-38.4909293
60750080,-3.8297804,-38.5520983
60440152,-3.7616363,-38.5691397
60736060,-3.8082934,-38.6099741
60330530,-3.7083396,-38.5756668
60325220,-3.7276939,-38.5473414
40040420,-12.9830587,-38.5109413
60135000,-3.7357777,-38.5241425
60190320,-3.750695,-38.4737483
60170192,-3.7487408,-38.4969287
60160120,-3.7318801,-38.4916045
60355633,-3.7343539,-38.5673038
60050160,-3.7500723,-38.5255898
60180005,-3.7135001,-38.4663279
60862345,-3.8234307,-38.5333724
60135410,-3.7444179,-38.5031691
60320830,-3.7279381,-38.555614
60120325,-3.7542744,-38.5063182
60055360,-3.7498221,-38.5230519
60060145,-3.724091,-38.5199777
60744470,-3.8008472,-38.5464455
60331100,-3.7034084,-38.5778955
60420478,-3.7592698,-38.5497151
60411130,-3.7496451,-38.5319738
60120085,-3.7616228,-38.5144214
60743732,-3.8009221,-38.5376331
60135420,-3.7469881,-38.4942892
60125001,-3.7481263,-38.5086449
60115221,-3.7322238,-38.5082132
60015052,-3.7348,-38.5367253
60140060,-3.7345379,-38.5214641
60055264,-3.737025,-38.5241276
60192320,-3.7480159,-38.4835464
60833192,-3.7892356,-38.4736791
60416000,-3.751626,-38.5427847
60811590,-3.7606929,-38.4788921
60030090,-3.7270823,-38.5243741
60050041,-3.7425967,-38.5304083
60160060,-3.7265458,-38.5110807
60060130,-3.7253794,-38.5220832
60761282,-3.8079565,-38.5542924
60165010,-3.7235721,-38.5194958
60411200,-3.7535712,-38.5301385
60455001,-3.7372691,-38.5659733
60115281,-3.731868,-38.5068996
60843140,-3.830882,-38.4768636
60025062,-3.7452083,-38.5346493
60115222,-3.7461143,-38.5127049
60822305,-3.8062623,-38.4824947
60130770,-3.7609488,-38.5159773
60348630,-3.7177411,-38.59735
60175175,-3.7394235,-38.4782244
60822395,-3.8139009,-38.4828938
60170310,-3.7331947,-38.4909293
60325110,-3.7323002,-38.555958
60450610,-3.7355482,-38.5467888
60055320,-3.7469229,-38.5229526
60861634,-3.8256047,-38.5394781
60311710,-3.7158818,-38.5589941
60010470,-3.7243173,-38.5433043
60811595,-3.764205,-38.4783281
60415110,-3.7555693,-38.5261365
60510164,-3.764221,-38.5926939
60355632,-3.7284955,-38.5693885
60415000,-3.7517186,-38.5286016
60135040,-3.7416261,-38.5089366
60115270,-3.7245239,-38.5041143
60534212,-3.7699123,-38.5948998
60175395,-3.7361356,-38.4701259
60821470,-3.7848128,-38.4968569
61620030,-3.6720349,-38.6734939
60810005,-3.7594646,-38.484779
60170040,-3.7280116,-38.4935881
60761265,-3.820281,-38.5553035
60310400,-3.7162704,-38.5464703
60320270,-3.7235483,-38.5638202
60055295,-3.7480906,-38.5227002
60420775,-3.7670672,-38.5541239
60015330,-3.7375263,-38.5398978
60822070,-3.7925853,-38.4930978
60130210,-3.750019,-38.5194944
60010436,-3.7202513,-38.5451143
60721340,-3.7695971,-38.5607618
60714710,-3.8006853,-38.5533992
60060440,-3.720024,-38.5135833
60822500,-3.795446,-38.4989123
60020240,-3.7414278,-38.5358192
60541658,-3.7831202,-38.5877485
60110261,-3.7248948,-38.514122
60421106,-3.7704827,-38.557441
60761485,-3.8095929,-38.5600379
60120055,-3.7534685,-38.511554
60110430,-3.7362426,-38.5141496
60347365,-3.7116127,-38.5915239
60430560,-3.7418283,-38.5493815
60120340,-3.7528582,-38.514948
60821220,-3.7846551,-38.5042525
60861710,-3.814425,-38.5246454
60130000,-3.7453569,-38.5221511
60040480,-3.7486937,-38.529215
60120002,-3.7455614,-38.5101362
60843040,-3.8336248,-38.4748051
60180012,-3.7135001,-38.4663279
60742110,-3.7858412,-38.5440624
60115000,-3.726512,-38.5110701
60821780,-3.793422,-38.482699
60410368,-3.7607186,-38.5308896
60420211,-3.7679186,-38.5420622
60841535,-3.8120903,-38.4948086
60150150,-3.7406728,-38.4881053
60160130,-3.7326249,-38.4871399
60335195,-3.7148172,-38.5650067
60871070,-3.8340587,-38.4990582
60060325,-3.7206088,-38.5127734
60120205,-3.7522585,-38.5150706
60165090,-3.7291565,-38.4899959
60442464,-3.7471922,-38.5663997
60050081,-3.7430372,-38.5289815
60710590,-3.7881407,-38.5701616
60192025,-3.7445617,-38.4754203
60165260,-3.7289687,-38.4862533
60191100,-3.7589226,-38.4562109
60811020,-3.7713058,-38.4850981
60851030,-3.7675417,-38.5134096
60410228,-3.7664221,-38.54243
60120170,-3.7508526,-38.5164244
60867490,-3.8168764,-38.5293819
60011110,-3.7310909,-38.5428192
60160080,-3.726418,-38.5040282
60425813,-3.7582743,-38.5546687
60426000,-3.7487222,-38.5476335
60110120,-3.7330175,-38.518954
60115125,-3.7369676,-38.5146089
60020080,-3.747486,-38.5404916
60055401,-3.7540419,-38.5233518
60040160,-3.7378953,-38.5342662
60160250,-3.7344666,-38.4902679
60710500,-3.7872762,-38.5717957
60192280,-3.7450278,-38.4766514
60810160,-3.7633827,-38.4876636
60821270,-3.7842951,-38.500422
60160041,-3.727652,-38.5102373
60040350,-3.7454179,-38.5273258
60744360,-3.7933447,-38.536502
60824245,-3.8126161,-38.4989644
60834105,-3.7830312,-38.4582654
60170288,-3.740422,-38.492185
60531090,-3.7604152,-38.6062496
60020160,-3.7438242,-38.5405229
60411205,-3.7558184,-38.5338728
60731130,-3.8115486,-38.5983068
60356110,-3.7362161,-38.5756585
60710095,-3.7820409,-38.5635835
60410505,-3.7533392,-38.5457986
60530520,-3.7688065,-38.6093675
60020181,-3.7383226,-38.5367133
60140100,-3.7331151,-38.5227452
