cep,bairro,cidade
60150060,aldeota,fortaleza
60320105,sao gerardo,fortaleza
60713480,manoel satiro,fortaleza
60431075,rodolfo teofilo,fortaleza
60430660,rodolfo teofilo,fortaleza
60812475,edson queiroz,fortaleza
60740745,parangaba,fortaleza
60120001,aldeota,fortaleza
60713300,manoel satiro,fortaleza
60420312,montese,fortaleza
60425784,damas,fortaleza
60191335,manuel dias branco,fortaleza
60176125,papicu,fortaleza
60822482,cidade dos funcionarios,fortaleza
61905590,novo maracanau,maracanau
60192072,coco,fortaleza
60410234,montese,fortaleza
60813730,engenheiro luciano cavalcante,fortaleza
60731538,bom jardim,fortaleza
60740148,parangaba,fortaleza
60732546,siqueira,fortaleza
60050220,fatima,fortaleza
60135041,aldeota,fortaleza
60130271,tauape,fortaleza
60110000,centro,fortaleza
60861770,passare,fortaleza
60714150,itaperi,fortaleza
60135253,dionisio torres,fortaleza
60175415,papicu,fortaleza
60110140,centro,fortaleza
60861790,passare,fortaleza
60025200,benfica,fortaleza
60175000,aldeota,fortaleza
60125121,dionisio torres,fortaleza
60135170,joaquim tavora,fortaleza
60050135,fatima,fortaleza
60416205,bom futuro,fortaleza
60411136,benfica,fortaleza
60811030,engenheiro luciano cavalcante,fortaleza
60055171,joaquim tavora,fortaleza
60821230,jardim das oliveiras,fortaleza
60455365,parquelandia,fortaleza
60810165,guararapes,fortaleza
60135280,aldeota,fortaleza
60055210,jose bonifacio,fortaleza
60120021,aldeota,fortaleza
60115282,joaquim tavora,fortaleza
60416200,bom futuro,fortaleza
60425810,damas,fortaleza
60441690,bela vista,fortaleza
60115170,meireles,fortaleza
60125055,aldeota,fortaleza
60175045,papicu,fortaleza
60170150,meireles,fortaleza
60181255,vicente pinzon,fortaleza
60050150,fatima,fortaleza
60714700,dende,fortaleza
60110300,centro,fortaleza
60170041,aldeota,fortaleza
60442056,couto fernandes,fortaleza
60455525,amadeu furtado,fortaleza
60310001,jacarecanga,fortaleza
60450510,parque araxa,fortaleza
60150110,centro,fortaleza
60450175,parquelandia,fortaleza
60125070,meireles,fortaleza
60742155,serrinha,fortaleza
60140120,aldeota,fortaleza
60055402,jose bonifacio,fortaleza
61602140,itambe,caucaia
60192024,coco,fortaleza
60840280,messejana,fortaleza
60820490,jardim das oliveiras,fortaleza
60140200,aldeota,fortaleza
60442462,bela vista,fortaleza
60020110,benfica,fortaleza
60115190,meireles,fortaleza
60160090,meireles,fortaleza
60025001,jose bonifacio,fortaleza
60822760,cidade dos funcionarios,fortaleza
60520022,joquei clube,fortaleza
60150162,aldeota,fortaleza
60020350,benfica,fortaleza
60520210,joquei clube,fortaleza
60170172,dionisio torres,fortaleza
60543355,bom jardim,fortaleza
60040360,fatima,fortaleza
60336360,floresta,fortaleza
